traj,encoder1,encoder2,encoder3,X,Y,Z,angle1,angle2,angle3
2,40.0491,58.7259,39.7046,69.5159,61.784,117.4667,-3.6905,-2.7531,-5.6868
2,39.9612,54.6829,36.6284,68.2087,62.1583,117.3508,-0.0826,-4.2051,-3.3792
2,42.4222,59.1653,41.1108,68.3003,62.8504,116.5484,2.934,4.8804,4.8252
2,42.8616,63.7357,44.0112,68.7726,61.2103,116.5925,0.8982,4.7208,3.2706
2,42.8616,67.8665,45.3296,68.9151,59.819,116.7453,-0.0355,4.4271,1.6009
2,45.8499,71.9095,50.5151,69.3444,60.2526,115.7512,3.4003,3.7368,5.4973
3,42.2657,42.3264,42.5101,63.7326,61.0206,122.7419,42.9611,42.9611,42.9611
3,39.1895,39.426,44.0921,63.4038,61.088,121.909,-3.4782,-3.2032,0.9573
3,40.9474,41.3596,41.9827,64.361,60.1589,121.3442,2.2081,2.3418,-2.3456
3,45.8692,45.9299,45.5862,65.2482,60.4282,120.5025,5.0741,4.9414,3.9045
3,44.7267,41.6232,46.553,64.319,61.625,120.9294,-1.6617,-4.5535,0.3441
3,46.5724,39.8654,49.1019,65.7887,61.7346,121.5083,2.0634,-2.1692,2.7105
3,46.1329,42.2385,46.553,65.5509,63.2821,121.4005,-0.4436,2.6521,-2.7262
3,48.4181,45.3146,45.762,65.2246,62.7169,120.5745,2.6678,3.5544,-1.1884
3,47.9786,47.424,43.3011,64.722,61.5569,120.1081,-0.8937,2.5237,-2.7878
3,52.461,49.3576,47.7835,63.7708,62.5886,120.6051,4.744,2.2814,4.9151
3,53.6036,52.6974,46.9925,64.769,62.3102,121.4645,1.5057,3.8136,-1.3074
3,57.7345,57.5314,51.0354,64.5622,61.2073,121.6998,4.1727,5.1091,4.3558
3,60.1954,55.2463,53.5843,63.6925,62.4913,121.5895,2.0701,-2.5641,2.0225
3,60.4591,50.676,51.4749,62.4488,62.6276,121.3154,-0.3336,-4.8242,-2.5646
3,55.8009,49.1818,50.8597,61.7351,63.6143,121.1,-4.7345,-0.6628,-0.6016
3,54.131,47.2482,45.762,60.713,62.5163,121.3393,-1.3191,-1.7795,-5.3678
3,58.3497,50.3244,50.2444,60.0305,61.4708,121.8911,4.7611,3.3168,5.0982
3,62.0411,49.7971,51.9144,61.232,62.6551,121.5547,3.9108,-0.9028,-0.0601
3,59.8438,48.215,46.553,61.8888,63.4537,120.8907,-0.9568,-0.8912,-5.1274
3,61.6017,46.7209,49.4534,62.6379,62.6398,121.7157,1.4707,-1.7755,3.4942
3,65.5567,47.7756,53.5843,61.3083,63.4538,121.1768,4.3478,1.5002,4.6064
3,69.2481,49.7971,58.594,60.2651,64.0684,120.8432,3.8463,2.4903,5.3362
3,66.7872,47.0724,60.4397,61.6149,64.3315,121.2429,-2.9229,-2.9741,1.4262
3,70.9181,51.467,64.6585,62.1574,64.597,122.0963,4.4964,4.7091,4.4018
3,70.8302,53.84,68.6136,60.985,65.5784,121.7277,-0.6896,2.7399,3.9844
3,66.5235,52.1701,64.4827,62.0399,64.7731,122.288,-4.3996,-1.7908,-4.5416
3,65.9083,52.1701,68.4378,62.1553,65.185,121.1534,-0.5904,0.0967,4.1641
3,65.8204,50.9396,63.6917,63.0019,66.1009,120.9556,-0.3428,-0.7432,-4.7088
3,70.5665,54.1037,67.6468,63.8579,66.3767,121.8354,5.1948,3.5248,3.7977
3,71.797,57.0041,65.889,63.3538,66.8089,120.7165,1.3461,3.2862,-1.9561
3,74.2579,58.4103,71.0745,63.466,65.2422,120.8781,2.7982,1.885,5.3449
3,77.3341,57.3557,73.887,62.6846,66.6771,120.765,3.2685,-1.3426,2.5502
3,75.4005,60.6955,72.4808,62.715,67.9626,120.9778,-1.143,3.8021,-0.4462
3,76.5431,62.6291,77.4026,63.7479,68.7488,120.9984,1.3191,2.0959,5.1702
3,71.3575,59.7287,75.1175,63.0907,67.7792,121.9,-5.2149,-3.3206,-2.8597
3,68.9845,62.717,76.9632,64.2455,67.1081,122.2342,-1.8253,3.1525,1.9619
3,71.006,65.6174,81.7972,64.9137,67.0736,122.935,2.1924,3.167,5.1882
3,72.1485,70.3635,85.3128,63.5905,66.9859,123.3172,1.5582,4.9825,3.4344
3,69.6876,72.5607,85.3128,62.2041,66.5847,123.3301,-2.8555,2.4543,-0.6743
3,67.2267,67.3752,83.2913,62.9348,67.7773,123.2074,-2.5099,-5.2924,-2.2704
3,62.3048,64.1232,79.2483,63.6556,68.3567,122.437,-5.0337,-3.7221,-4.0256
3,66.7872,64.1232,80.4788,63.5178,68.6061,121.5917,4.8997,0.4686,1.401
3,62.3927,60.0803,76.1722,62.3172,67.9947,121.4064,-4.5638,-4.3118,-4.3386
3,65.9083,64.299,80.2151,61.9512,67.1698,120.6363,4.0637,4.4467,4.6034
3,62.8321,59.2892,77.0511,61.2694,65.53,121.4409,-3.27,-5.409,-2.8581
3,62.7442,57.2678,72.3929,61.4739,66.3203,122.2018,-0.3147,-2.3782,-4.6731
3,59.4923,57.2678,68.5257,62.4739,65.925,122.6868,-3.609,-0.4846,-4.3614
3,56.8556,57.2678,64.1312,61.8905,66.2299,121.6035,-2.8511,-0.0758,-4.5001
3,57.2071,53.6642,63.5159,60.9908,66.8462,121.0467,0.7676,-3.9829,0.3144
3,60.6349,54.2795,67.5589,60.1322,67.8611,120.5403,3.9765,0.8668,4.4107
3,63.6231,52.6096,69.5804,60.0815,67.7104,119.9487,3.0699,-1.9625,1.7752
4,42.5733,43.0462,42.8748,63.4201,61.2402,122.6809,43.4455,43.4455,43.4455
4,45.2979,43.0462,47.2693,62.378,60.0175,123.2052,3.185,0.3394,4.6637
4,40.464,41.4642,44.6326,63.172,61.1692,122.9316,-5.3793,-1.6179,-3.234
4,44.5069,44.1888,49.3787,63.4892,61.3104,121.9872,4.5232,3.0247,5.2935
4,44.6827,44.1009,45.5115,63.5511,59.7743,122.4553,-0.461,0.4929,-4.3252
4,44.7706,45.4193,42.4353,63.8783,58.6031,122.211,0.4615,1.6009,-3.5158
4,48.9893,45.4193,45.16,63.9083,59.9155,122.1928,4.4772,0.0265,3.0656
4,51.4503,43.5735,47.7967,64.5062,60.9403,121.8337,2.5278,-1.9831,2.5911
4,50.9229,39.97,48.324,64.5452,62.2642,121.9316,-0.8548,-4.0386,1.1881
4,49.4288,35.3997,48.2361,65.0674,61.47,121.0178,-1.6711,-4.8704,0.0162
4,54.3507,38.8275,52.2791,65.3246,62.5623,120.8279,5.333,3.7342,4.2174
4,59.2726,42.9583,56.1463,65.2496,62.6871,120.0375,5.0791,4.4377,4.214
4,54.5265,41.9036,54.8279,66.0465,61.1625,120.0264,-5.0735,-1.0295,-1.9361
4,54.5265,37.8607,51.576,67.0813,60.4019,120.4258,0.4281,-4.1149,-3.1873
4,55.8448,40.8489,49.4666,65.7417,60.307,120.9819,1.6925,3.4444,-1.7627
4,56.1085,36.4544,49.8182,66.3241,61.2754,121.4505,0.132,-4.5682,-0.1474
4,54.2628,31.181,48.4998,66.5628,60.8502,120.3708,-2.0694,-5.5211,-1.1341
4,54.2628,30.0384,51.7518,67.7962,59.9017,120.2404,-0.3906,-1.5744,3.5313
4,58.3936,34.1693,56.41,68.2014,61.0682,120.6229,4.4271,4.6004,4.983
4,62.1729,39.5306,58.783,68.431,59.8101,120.5364,3.8482,5.5989,2.2003
4,59.1847,34.0814,55.5311,68.9074,58.9139,119.6069,-3.433,-5.8824,-3.261
4,55.4054,35.0482,53.7732,69.1136,58.0578,118.7372,-3.7921,1.318,-1.2496
4,53.1202,29.6868,51.8396,68.1751,56.7422,119.2131,-2.7613,-5.8428,-1.9248
4,54.087,31.7083,56.5857,68.2943,56.7464,118.1021,1.3041,2.6033,5.1849
4,53.1202,28.2806,51.8396,67.1332,56.3954,117.767,-1.3948,-3.7602,-5.049
4,50.5714,25.556,46.8299,66.6073,57.0541,118.8915,-2.9764,-2.9949,-5.5443
4,53.5597,29.6868,45.951,65.4754,55.8636,118.6743,3.289,4.4174,-0.2076
4,54.5265,31.0052,42.9627,66.5471,56.8034,119.0302,1.172,1.3604,-3.3873
4,57.7784,36.3665,44.8963,67.2046,56.6596,117.8386,3.4937,5.6854,2.1051
4,57.9542,40.6732,48.2361,67.711,57.9735,117.7393,0.4572,4.5655,3.8394
4,59.7999,38.1243,50.1697,67.4307,56.9063,117.0295,2.0518,-2.6776,1.9322
4,58.2179,40.4974,48.1482,68.3326,55.4432,116.7868,-1.4607,2.7338,-2.3391
4,55.7569,42.6946,48.0603,67.1602,57.0173,116.8225,-2.8341,2.522,-0.2049
4,60.0636,47.5286,50.3455,66.3327,56.1644,116.2004,4.5831,5.0519,2.6096
4,64.9854,49.9017,52.1912,65.1491,55.9864,117.3169,5.3003,2.8343,2.0235
4,61.294,48.2318,53.7732,63.3744,56.6315,116.9973,-4.1481,-1.5251,0.7443
4,58.921,44.8919,54.5643,62.8018,56.0634,116.1016,-2.6269,-3.2473,1.4525
4,57.6026,43.222,56.8494,61.8425,56.4872,115.4282,-1.8044,-2.0779,2.6779
4,52.5929,41.4642,54.8279,60.4092,57.3497,115.6214,-5.4051,-2.0608,-2.075
4,48.9893,41.4642,55.1795,60.808,56.1676,116.5882,-3.8881,0.39,0.9372
4,52.7686,40.9368,55.0037,60.2719,56.5341,117.4911,4.2244,-0.6218,0.1977
4,57.5147,42.5189,58.2557,61.7846,55.9079,116.9388,5.1898,1.9247,3.6533
4,55.0538,38.6517,59.0467,61.4688,56.1703,117.9563,-2.6984,-4.1174,0.7147
4,53.7354,33.554,57.5525,61.3668,56.3429,116.749,-1.5165,-5.5698,-1.656
4,55.4054,31.2689,59.3103,61.5611,55.6682,117.8696,2.1521,-2.5705,2.0712
4,60.0636,32.0599,60.9803,62.7091,56.3936,118.4139,5.0677,1.1472,1.6515
4,56.5479,28.1927,55.7068,62.2881,57.5267,119.0375,-3.6271,-4.2642,-5.2591
4,57.7784,29.5989,60.365,62.2174,58.8372,119.6737,1.6884,1.6109,5.1003
4,61.6456,30.4778,60.0135,63.0265,57.9501,119.7499,4.1432,1.0964,-0.7661
4,62.6124,35.2239,63.7928,63.3247,57.0794,118.7584,1.339,5.069,4.1042
4,60.4151,38.0364,64.408,64.1562,56.2091,118.5852,-2.4134,2.9708,0.9597
5,43.309,43.3301,43.4259,63.4778,60.8863,122.4552,43.929,43.929,43.929
5,46.9125,42.2754,44.6563,63.5651,59.6962,121.8851,3.8613,-1.1706,-0.0273
5,44.7152,42.1875,40.2618,62.6438,59.9708,122.7791,-2.1728,0.3184,-4.5451
5,49.1098,45.791,41.0528,62.7081,59.3561,121.8243,4.7712,3.8401,1.0456
5,52.7133,49.3066,46.4142,63.5131,60.3875,122.0458,3.9492,3.9519,5.5707
5,54.0316,53.7891,46.7657,64.0628,61.5468,122.2099,1.7229,4.9421,0.5335
5,50.9555,51.5039,41.6681,64.982,60.6809,121.654,-3.3043,-2.7347,-5.7429
5,55.2621,53.4375,40.7892,65.5796,59.2978,121.5755,4.8689,2.2209,0.5186
5,52.977,48.252,36.922,65.7055,58.159,121.7545,-2.5176,-5.3676,-4.1536
5,50.1645,49.6582,34.1974,65.7105,56.9681,122.1029,-2.7959,1.8773,-2.4841
5,53.0648,48.4277,34.7247,66.2349,56.6942,121.04,3.4563,-1.65,-0.1278
5,49.9887,50.1855,33.4063,66.7978,56.6295,120.0718,-3.0809,2.1328,-0.9925
5,45.1547,46.0547,30.4181,65.5493,56.8028,120.9146,-5.0503,-4.652,-3.0991
5,46.3852,49.5703,29.2755,66.5501,56.57,121.3171,1.6018,3.9433,-1.1101
5,48.143,54.0527,33.7579,67.124,57.9028,121.0276,2.1852,4.8113,4.9725
5,52.5375,58.623,37.8009,67.706,56.5207,121.25,4.7946,4.7849,4.2769
5,57.2836,60.8203,42.0196,67.8968,55.505,121.7755,5.0451,2.3148,4.5853
5,59.5688,58.9746,39.1192,67.4102,54.2764,121.5424,1.856,-1.9397,-3.2426
5,60.0082,56.6016,35.7794,67.4915,54.0779,120.4198,1.1835,-2.7881,-3.5896
5,55.4379,55.1953,32.2638,67.7753,54.7597,119.7148,-4.9072,-1.4047,-4.0051
5,58.602,59.0625,37.4493,67.9198,54.1975,120.6907,3.2297,4.174,5.7457
5,60.6234,59.1504,42.1954,66.7812,55.1659,121.03,2.2048,0.2749,5.0913
5,63.0844,57.4805,39.7345,66.9985,54.2003,121.6989,2.3361,-1.7331,-2.6812
5,64.0512,55.1074,36.5704,66.0947,53.4417,120.9782,1.4679,-2.6425,-3.3236
5,61.5902,52.9102,38.0646,67.1165,53.8096,121.7258,-2.7225,-2.5922,1.8171
5,59.8324,55.1953,40.9649,67.5355,54.5555,122.4974,-1.3259,2.5643,3.5501
5,61.6781,60.293,44.3927,68.343,55.7108,121.9053,2.142,5.3344,3.6924
5,65.3695,59.8535,45.8868,69.0869,56.8893,122.0143,3.9896,-0.9191,0.7325
5,60.2719,55.6348,42.8985,69.3111,57.7173,121.3102,-4.9474,-4.4077,-3.1788
5,60.4477,55.6348,46.6778,68.2093,58.1304,120.8751,-0.0603,-0.4395,4.3636
5,61.3266,53.1738,43.2501,68.813,56.6697,120.791,1.2226,-2.4663,-3.6894
5,59.7445,51.2402,38.4161,68.3451,58.0858,120.8732,-1.0717,-1.3076,-5.3567
5,64.5785,54.4043,41.8438,67.1946,58.8312,121.0395,5.2554,3.4363,3.7006
5,60.0082,51.6797,37.0978,67.7572,59.4308,120.0925,-4.5834,-3.0178,-5.197
5,59.9203,50.5371,40.7892,68.9658,59.4358,119.3211,-0.3374,-0.7034,4.202
5,57.3715,45.4395,36.3946,67.429,58.5115,120.0808,-2.8709,-5.2694,-4.7156
5,54.1195,46.4062,34.5489,66.8019,57.5429,120.2958,-3.6482,1.296,-1.8635
